model,horizon_min,patient,n_windows,rmse,mae,seed
persistence,30,540,2773,28.46952446790092,21.106021533062258,42
persistence,30,544,2639,22.599683778187718,16.5668808914306,42
persistence,30,552,2234,20.768654757845066,14.908235456010756,42
persistence,30,559,2344,23.594347498512878,16.905716316691844,42
persistence,30,563,2536,20.782920609886634,15.46056747737367,42
persistence,30,567,2200,27.509914817578792,19.732726624228736,42
persistence,30,570,2612,18.916941684204687,13.872894170273318,42
persistence,30,575,2456,25.65133528686106,17.701139335135295,42
persistence,30,584,2435,24.785725919718153,17.789321827349966,42
persistence,30,588,2740,21.89015316473166,16.01240825792299,42
persistence,30,591,2709,24.705835739885032,18.16426639549844,42
persistence,30,596,2624,21.171716601751335,15.332316450956391,42
linear (k=6),30,540,2773,30.633770031628746,21.890690640856374,42
linear (k=6),30,544,2639,25.252017734721008,17.191316989842306,42
linear (k=6),30,552,2234,23.510451329238364,16.398784333504835,42
linear (k=6),30,559,2344,25.577187891101012,16.36561380067376,42
linear (k=6),30,563,2536,25.092687269345625,17.39661979374449,42
linear (k=6),30,567,2200,30.33543614189633,20.062674903869627,42
linear (k=6),30,570,2612,21.57229951851663,14.89673990421967,42
linear (k=6),30,575,2456,34.90389368655941,20.397882250310545,42
linear (k=6),30,584,2435,30.212978994515563,21.560046552779493,42
linear (k=6),30,588,2740,25.701070563213438,18.25449384146363,42
linear (k=6),30,591,2709,31.595740975651715,21.630068677956437,42
linear (k=6),30,596,2624,23.58922534067932,16.09945569096542,42
ridge (alpha=10),30,540,2773,22.96515742327704,17.2913874761318,42
ridge (alpha=10),30,544,2639,18.796554925130405,13.516593282626587,42
ridge (alpha=10),30,552,2234,17.38964436736958,13.285004133396951,42
ridge (alpha=10),30,559,2344,19.87552719317188,14.036182299408896,42
ridge (alpha=10),30,563,2536,18.945201795593384,13.17441187296004,42
ridge (alpha=10),30,567,2200,21.935174187387336,15.759691519303756,42
ridge (alpha=10),30,570,2612,17.721921084815133,12.885616051292711,42
ridge (alpha=10),30,575,2456,24.077156035440506,15.813790718973266,42
ridge (alpha=10),30,584,2435,22.393339468554515,15.858750548940419,42
ridge (alpha=10),30,588,2740,18.67733515521952,13.525606787465785,42
ridge (alpha=10),30,591,2709,22.243491462700877,15.910167126604533,42
ridge (alpha=10),30,596,2624,17.73028689970024,12.727457514623316,42
persistence,60,540,2753,47.421851737113485,35.88339852784445,42
persistence,60,544,2615,37.925940573719544,28.61491306516454,42
persistence,60,552,2195,33.72219861668159,24.64829025442345,42
persistence,60,559,2288,39.75000462907633,29.20716710190673,42
persistence,60,563,2524,34.034089948733126,25.583993038171446,42
persistence,60,567,2143,45.93624352554941,33.72515048170779,42
persistence,60,570,2587,31.580576246564956,24.138383869042855,42
persistence,60,575,2438,39.31468268079377,28.509022638385076,42
persistence,60,584,2408,41.43440780739201,29.78114535879851,42
persistence,60,588,2722,35.925195911763886,26.774062448875767,42
persistence,60,591,2691,38.71344510040095,29.335190063159025,42
persistence,60,596,2597,35.57739130798634,26.103579906394586,42
linear (k=6),60,540,2753,66.33282120344916,48.26328578551293,42
linear (k=6),60,544,2615,52.078591401385914,36.05687967449939,42
linear (k=6),60,552,2195,50.04361103350682,35.52105346540655,42
linear (k=6),60,559,2288,52.14626076607743,35.04133259499823,42
linear (k=6),60,563,2524,49.93057684074667,35.44367137008159,42
linear (k=6),60,567,2143,65.07293469965126,43.89508577490098,42
linear (k=6),60,570,2587,43.4759892199379,30.000242194200418,42
linear (k=6),60,575,2438,65.86396732100759,41.94954810326367,42
linear (k=6),60,584,2408,59.52304487072389,43.87086987733049,42
linear (k=6),60,588,2722,51.2485752634585,37.245501191015194,42
linear (k=6),60,591,2691,61.437422482807264,43.48300574057078,42
linear (k=6),60,596,2597,46.738620832261304,32.675889116183676,42
ridge (alpha=10),60,540,2753,41.155311829055734,31.730926416676304,42
ridge (alpha=10),60,544,2615,32.57715327065166,24.984144790678588,42
ridge (alpha=10),60,552,2195,30.82397958377232,24.100170679461712,42
ridge (alpha=10),60,559,2288,34.752739754110756,25.50755961958345,42
ridge (alpha=10),60,563,2524,29.92492493359839,21.90659454998615,42
ridge (alpha=10),60,567,2143,39.009102994037384,29.253954853123723,42
ridge (alpha=10),60,570,2587,32.417369716709096,25.12100472761758,42
ridge (alpha=10),60,575,2438,36.77853611648886,27.113420860409445,42
ridge (alpha=10),60,584,2408,37.53924618331515,27.360656221839676,42
ridge (alpha=10),60,588,2722,31.2403047154193,22.851487004870794,42
ridge (alpha=10),60,591,2691,34.64002242662051,26.703066953094154,42
ridge (alpha=10),60,596,2597,29.81514099752089,22.427029835521417,42
