model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),30,540,2773,21.474795456434578,15.868016168351557,2
lstm (glucose only),30,544,2639,18.05067997569745,12.61528292674375,2
lstm (glucose only),30,552,2234,15.974585529643837,11.691817806998639,2
lstm (glucose only),30,559,2344,18.5483212949855,12.74746802072883,2
lstm (glucose only),30,563,2536,17.76792341468214,12.662727049096526,2
lstm (glucose only),30,567,2200,21.017064745525918,14.488166396401144,2
lstm (glucose only),30,570,2612,16.390371140933674,11.432774215160796,2
lstm (glucose only),30,575,2456,21.16758414230597,13.815578069283054,2
lstm (glucose only),30,584,2435,22.01391773172585,15.47952753337257,2
lstm (glucose only),30,588,2740,18.46289819613343,13.14918277211433,2
lstm (glucose only),30,591,2709,20.55217017935593,14.706027693130645,2
lstm (glucose only),30,596,2624,16.988117303161456,11.864167416967996,2
